,start_station_name,end_station_name,Number of Trips
46593,Streeter Dr & Grand Ave,Streeter Dr & Grand Ave,1546
17457,DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St,995
32654,Michigan Ave & Oak St,Michigan Ave & Oak St,731
17578,DuSable Lake Shore Dr & Monroe St,Streeter Dr & Grand Ave,635
33632,Millennium Park,Millennium Park,504
34428,Montrose Harbor,Montrose Harbor,483
46893,Theater on the Lake,Theater on the Lake,395
46520,Streeter Dr & Grand Ave,Millennium Park,376
18121,Dusable Harbor,Dusable Harbor,370
46442,Streeter Dr & Grand Ave,DuSable Lake Shore Dr & Monroe St,356
17692,DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & North Blvd,345
41119,Shedd Aquarium,Shedd Aquarium,333
46515,Streeter Dr & Grand Ave,Michigan Ave & Oak St,330
41134,Shedd Aquarium,Streeter Dr & Grand Ave,318
24234,Indiana Ave & Roosevelt Rd,Indiana Ave & Roosevelt Rd,318
4428,Buckingham Fountain,Buckingham Fountain,317
33688,Millennium Park,Streeter Dr & Grand Ave,306
19986,Fort Dearborn Dr & 31st St,Fort Dearborn Dr & 31st St,306
671,Adler Planetarium,Adler Planetarium,287
18218,Dusable Harbor,Streeter Dr & Grand Ave,261
46443,Streeter Dr & Grand Ave,DuSable Lake Shore Dr & North Blvd,258
32724,Michigan Ave & Oak St,Streeter Dr & Grand Ave,246
31260,McClurg Ct & Ohio St,McClurg Ct & Ohio St,243
31804,Michigan Ave & 8th St,Michigan Ave & 8th St,240
46594,Streeter Dr & Grand Ave,Theater on the Lake,237
17839,DuSable Lake Shore Dr & North Blvd,Streeter Dr & Grand Ave,232
17556,DuSable Lake Shore Dr & Monroe St,Shedd Aquarium,224
17460,DuSable Lake Shore Dr & Monroe St,Dusable Harbor,223
41037,Shedd Aquarium,DuSable Lake Shore Dr & Monroe St,215
46558,Streeter Dr & Grand Ave,Shedd Aquarium,199
33057,Michigan Ave & Washington St,Michigan Ave & Washington St,194
43055,Shore Dr & 55th St,Shore Dr & 55th St,191
17926,DuSable Lake Shore Dr & Wellington Ave,DuSable Lake Shore Dr & Wellington Ave,190
46892,Theater on the Lake,Streeter Dr & Grand Ave,189
17080,DuSable Lake Shore Dr & Belmont Ave,DuSable Lake Shore Dr & Belmont Ave,182
26780,Lakefront Trail & Bryn Mawr Ave,Lakefront Trail & Bryn Mawr Ave,181
35662,New St & Illinois St,New St & Illinois St,175
32258,Michigan Ave & Lake St,Michigan Ave & Lake St,169
17260,DuSable Lake Shore Dr & Diversey Pkwy,DuSable Lake Shore Dr & Diversey Pkwy,168
41101,Shedd Aquarium,Millennium Park,163
26890,Lakefront Trail & Wilson Ave,Lakefront Trail & Wilson Ave,163
48113,Wabash Ave & Grand Ave,Wabash Ave & Grand Ave,155
8354,Clark St & Armitage Ave,Clark St & Armitage Ave,155
33556,Millennium Park,DuSable Lake Shore Dr & Monroe St,153
7007,Cannon Dr & Fullerton Ave,Cannon Dr & Fullerton Ave,153
18118,Dusable Harbor,DuSable Lake Shore Dr & Monroe St,152
30797,Marine Dr & Ainslie St,Marine Dr & Ainslie St,151
41039,Shedd Aquarium,Dusable Harbor,149
46835,Theater on the Lake,Michigan Ave & Oak St,145
47662,Wabash Ave & 9th St,Wabash Ave & 9th St,144
18709,Ellis Ave & 60th St,University Ave & 57th St,144
30052,Lincoln Park Conservatory,Lincoln Park Conservatory,140
42927,Sheridan Rd & Noyes St (NU),Sheridan Rd & Noyes St (NU),138
4545,Buckingham Fountain,Streeter Dr & Grand Ave,136
10029,Clark St & Lincoln Ave,Clark St & Lincoln Ave,131
26525,Lake Park Ave & 35th St,Lake Park Ave & 35th St,130
17527,DuSable Lake Shore Dr & Monroe St,Millennium Park,129
806,Adler Planetarium,Streeter Dr & Grand Ave,128
18692,Ellis Ave & 60th St,Ellis Ave & 55th St,128
46377,Streeter Dr & Grand Ave,Buckingham Fountain,128
32084,Michigan Ave & Jackson Blvd,Michigan Ave & Jackson Blvd,127
42918,Sheridan Rd & Noyes St (NU),Chicago Ave & Sheridan Rd,126
7560,Chicago Ave & Sheridan Rd,Sheridan Rd & Noyes St (NU),126
32577,Michigan Ave & Oak St,DuSable Lake Shore Dr & North Blvd,125
46602,Streeter Dr & Grand Ave,Wabash Ave & Grand Ave,123
17458,DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & North Blvd,122
17390,DuSable Lake Shore Dr & Monroe St,Adler Planetarium,122
31317,McClurg Ct & Ohio St,Streeter Dr & Grand Ave,121
21569,Green St & Randolph St*,Green St & Randolph St*,120
47178,University Ave & 57th St,Ellis Ave & 60th St,120
